Date,AMZN,MSFT
2019-10-01,88.83300018310547,136.9398193359375
2019-11-01,90.04000091552734,144.59056091308594
2019-12-01,92.39199829101562,151.13967895507812
2020-01-01,100.43599700927734,163.14840698242188
2020-02-01,94.1875,155.27035522460938
2020-03-01,97.48600006103516,151.56211853027344
2020-04-01,123.69999694824219,172.22398376464844
2020-05-01,122.11849975585938,176.10653686523438
2020-06-01,137.9409942626953,196.1213836669922
2020-07-01,158.23399353027344,197.56690979003906
2020-08-01,172.54800415039062,217.34197998046875
2020-09-01,157.43649291992188,203.18374633789062
2020-10-01,151.8074951171875,195.59083557128906
2020-11-01,158.40199279785156,206.79673767089844
2020-12-01,162.84649658203125,215.42555236816406
2021-01-01,160.30999755859375,224.66554260253906
2021-02-01,154.64649963378906,225.07232666015625
2021-03-01,154.70399475097656,228.88168334960938
2021-04-01,173.37100219726562,244.81222534179688
2021-05-01,161.15350341796875,242.38526916503906
2021-06-01,172.00799560546875,263.5925598144531
2021-07-01,166.37950134277344,277.224609375
2021-08-01,173.5395050048828,293.73687744140625
2021-09-01,164.2519989013672,274.8404846191406
2021-10-01,168.6215057373047,323.2923889160156
2021-11-01,175.35350036621094,322.2882080078125
2021-12-01,166.7169952392578,328.4742126464844
2022-01-01,149.57350158691406,303.7253112792969
2022-02-01,153.56300354003906,291.8197021484375
2022-03-01,162.99749755859375,301.7402648925781
2022-04-01,124.28150177001953,271.6063537597656
2022-05-01,120.20950317382812,266.0768127441406
2022-06-01,106.20999908447266,251.9426727294922
2022-07-01,134.9499969482422,275.397705078125
2022-08-01,126.7699966430664,256.4943542480469
2022-09-01,113.0,228.95298767089844
2022-10-01,102.44000244140625,228.196044921875
2022-11-01,96.54000091552734,250.81607055664062
2022-12-01,84.0,236.4201202392578
2023-01-01,103.12999725341797,244.2968292236328
2023-02-01,94.2300033569336,245.88400268554688
2023-03-01,103.29000091552734,284.9246826171875
2023-04-01,105.44999694824219,303.6627197265625
2023-05-01,120.58000183105469,324.54534912109375
2023-06-01,130.36000061035156,337.288818359375
2023-07-01,133.67999267578125,332.7129211425781
2023-08-01,138.00999450683594,324.630859375
2023-09-01,127.12000274658203,313.39764404296875
2023-10-01,133.08999633789062,335.5910339355469
2023-11-01,146.08999633789062,376.08709716796875
2023-12-01,151.94000244140625,373.9959716796875
2024-01-01,155.1999969482422,395.4189147949219
2024-02-01,176.75999450683594,411.3916320800781
2024-03-01,180.3800048828125,419.2069091796875
2024-04-01,175.0,387.9298095703125
2024-05-01,176.44000244140625,413.63702392578125
2024-06-01,193.25,446.1458740234375
2024-07-01,186.97999572753906,417.5973205566406
2024-08-01,178.5,416.3894958496094
2024-09-01,186.3300018310547,430.29998779296875
2024-10-01,188.82000732421875,416.32000732421875
